latitude,longitude,name,Corrosion
22.62652778,74.03015278,97/0,low
22.61805,74.05249444,98/0,low
22.62162778,74.06346944,AP99/0,low
22.62621667,74.06831667,100/0,low
22.62619722,74.07178333,101/0,low
22.62808333,74.07501667,102/0,low
22.64255,74.08151111,103/0,low
22.65092222,74.08776667,104/0,low
22.65441111,74.09865,105/0,low
22.65514167,74.106525,106/0,low
22.65543611,74.10961389,106A/0,low
22.65623056,74.11727778,106B/0,low
22.656775,74.12101944,107/0,low
22.65578611,74.12722222,108/0,low
22.65503889,74.134975,109/0,low
22.65458333,74.13875,109/1,low
22.65550833,74.14193611,110/0,low
22.656225,74.14555278,110/1,low
22.65631111,74.14833889,110/2,low
22.65713056,74.15243333,111/0,low
22.65767778,74.15354444,111/1,low
22.65863611,74.15715833,112/0,low
22.65938333,74.16105,113/0,low
22.66453056,74.17203056,114/0,Moderate
22.67218056,74.18140833,114A/0,Moderate
22.67698333,74.19136667,115/0,Moderate
22.68170278,74.20110278,116/0,Moderate
22.68111944,74.20534167,117/0,Moderate
22.68145556,74.20991944,118/0,Moderate
22.68136111,74.21597222,119/0,Moderate
22.68040278,74.22130833,120/0,Moderate
22.68263056,74.22549167,121/0,Moderate
22.68356389,74.22967222,121A/0,Moderate
22.68424167,74.2326,122/0,Moderate
22.68991944,74.242325,123/0,Moderate
22.70058889,74.38171944,128/0,low
22.69648889,74.42969444,129/0,low
22.68664722,74.46889444,129/11,low
22.68188611,74.48803889,AP130/0,low
22.68382222,74.503375,AP130A/0,low
22.68367222,74.52924167,AP130B/0,low
22.68303333,74.53591389,AP131/0,low
22.68519722,74.58348889,132/0,low
22.68653056,74.61024722,133/0,low
22.68569444,74.62794722,134/0,low
22.68265,74.64289444,135/0,low
22.68591389,74.67680556,136/0,low
22.68469444,74.70951389,137/0,low
22.68685,74.72402778,138/0,low
