latitude,longitude,name,Potential Fouling
22.51594167,72.88987222,16/0,low
22.51467222,72.89591111,17/0,low
22.51292222,72.89788333,18/0,low
22.51165,72.89936667,19/0,low
22.51064167,72.90399167,20/0,low
22.51160833,72.90569167,21/0,low
22.51323056,72.93640556,22/0,low
22.51059444,72.94316667,23/0,low
22.51161389,72.94562222,24/0,low
22.51573611,73.04977778,37B/0,low
22.51676389,73.051525,37B/1,low
22.51775278,73.05313889,38/0,low
22.52585556,73.06073333,39/0,low
22.52773889,73.063975,39/1,low
22.53308611,73.07342778,39A/0,low
22.53504167,73.07673611,39B/0,low
22.5355,73.07872778,39C/0,low
22.53783056,73.08271389,39D/0,low
22.53521389,73.18319722,45/0,low
22.53836111,73.19050833,45A/0,low
22.5409,73.19759167,45B/0,low
22.54697222,73.21231389,45C/0,low
22.54936667,73.21920833,46/0,low
22.54826111,73.22392222,46A/0,low
22.54740556,73.22659444,47/0,low
22.54671389,73.24260833,47A/0,low
22.546575,73.24635278,47B/0,low
22.54653056,73.24878611,48/0,low
22.54707778,73.253575,48A/0,low
22.5516,73.28395278,49/0,low
22.55076389,73.28615833,50/0,low
22.55129722,73.29027222,50/1,low
22.55766667,73.33425278,51/0,low
22.56055556,73.35605278,51A/0,low
22.57168889,73.4946,61/5,low
22.57203056,73.49932778,61A/0,low
22.57315556,73.51624722,62/0,low
22.57593333,73.534575,63/0,low
22.57816667,73.65985278,70A/0,low
22.57736944,73.66629167,70B/0,low
22.57276389,73.67723056,71/0,low
22.57223889,73.68114722,71A/0,low
22.57200833,73.68543056,71B/0,low
22.57340556,73.76136944,76A/0,low
22.57212778,73.76581667,76B/0,low
22.57143333,73.7703,76B/1,low
22.57080278,73.77458333,76C/0,low
22.56975278,73.77816667,76D/0,low
22.68664722,74.46889444,129/11,low
22.68188611,74.48803889,AP130/0,low
22.68382222,74.503375,AP130A/0,low
22.68367222,74.52924167,AP130B/0,low
22.68303333,74.53591389,AP131/0,low
22.68519722,74.58348889,132/0,low
22.65911667,74.82479722,145/0,low
22.66148333,74.82834722,145/1,low
22.68326389,74.86184444,145A/0,low
22.68717778,74.86823333,145A/2,low
22.6968,74.913475,149/0,low
22.69710833,74.91506111,150/0,low
22.69477778,74.91795,151/0,low
22.68448611,74.92045556,152/0,low
22.68401944,74.92178889,153/0,low
