latitude,longitude,name
22.5398527778,72.7810972222,DDE
22.5403972222,72.7806805556,GA/0
22.5410027778,72.7671416667,GB/0
22.5412361111,72.7645083333,C/0
22.5394888889,72.7633416667,D/0
22.5380111111,72.7637694444,E/0
22.5347305556,72.774375,F/0
22.5304027778,72.7800694444,0/0
22.5274333333,72.7814638889,0/1
22.5216805556,72.7842166667,1/0
22.52025,72.7846333333,2/0
22.515175,72.789175,3/0
22.5145583333,72.7927833333,3A/0
22.5148611111,72.7951333333,3B/0
22.5152222222,72.7970916667,4/0
22.5163527778,72.79775,5/0
22.5167805556,72.8058472222,5A/0
22.5159083333,72.8168555556,5B/0
22.5164138889,72.8182611111,5C/0
22.5161,72.8324583333,6/0
22.5151777778,72.8446472222,7/0
22.5167222222,72.8525166667,8/0
22.5175611111,72.8553361111,8A/0
22.5153805556,72.8587527778,8B/0
22.5155972222,72.8620166667,8C/0
22.5148611111,72.8639694444,9/0
22.5107638889,72.8770194444,10/0
22.5086583333,72.8787611111,11/0
22.5083972222,72.8812166667,12/0
22.5092,72.8836138889,12A/0
22.5107222222,72.8841944444,13/0
22.5121222222,72.8845777778,14/0
22.51465,72.8863972222,15/0
22.5159416667,72.8898722222,16/0
22.5146722222,72.8959111111,17/0
22.5129222222,72.8978833333,18/0
22.51165,72.8993666667,19/0
22.5106416667,72.9039916667,20/0
22.5116083333,72.9056916667,21/0
22.5132305556,72.9364055556,22/0
22.5105944444,72.9431666667,23/0
22.5116138889,72.9456222222,24/0
22.5134861111,72.946875,25/0
22.5145472222,72.9505277778,26/0
22.5138972222,72.9524638889,26A/0
22.5124805556,72.9542388889,26B/0
22.5101055556,72.9610416667,26C/0
22.5083916667,72.9643555556,27/0
22.5068305556,72.9680138889,28/0
22.5061583333,72.971975,28/1
22.5055361111,72.9758944444,28A/0
22.5051083333,72.979875,28A/1
22.5047416667,72.9835305556,29/0
22.5047805556,72.98725,29A/0
22.5014805556,72.9902527778,30/0
22.5022694444,72.9962,30A/0
22.50282500000001,72.998725,31/0
22.5008555556,73.0020444444,31A/0
22.4986527778,73.0050972222,32/0
22.4997,73.0205944444,33/0
22.5011638889,73.0223805556,33A/0
22.5034888889,73.0254222222,33B/0
22.5059472222,73.0290833333,34/0
22.5075222222,73.0308166667,34A/0
22.50896944440001,73.0340333333,35/0
22.5090444444,73.0359888889,35/1
22.5093638889,73.0414138889,36/0
22.5116194444,73.0434777778,37/0
22.5140972222,73.0462027778,37A/0
22.5157361111,73.0497777778,37B/0
22.5167638889,73.051525,37B/1
22.51775277779999,73.0531388889,38/0
22.5258555556,73.0607333333,39/0
22.5277388889,73.063975,39/1
22.5330861111,73.0734277778,39A/0
22.5350416667,73.0767361111,39B/0
22.5355,73.0787277778,39C/0
22.5378305556,73.0827138889,39D/0
22.5434944444,73.0926861111,40/0
22.5476055556,73.0993583333,AP41/0
22.5485944444,73.114575,AP42/0
22.5484972222,73.1184638889,42A/0
22.5462916667,73.1255111111,42B/0
22.5458833333,73.1289611111,42C/0
22.5438861111,73.1415583333,43/0
22.5410416667,73.1464722222,43A/0
22.5407888889,73.1491444444,44/0
22.54075,73.1523916667,44A/0
22.5402777778,73.1571333333,44B/0
22.5391277778,73.1608305556,44C/0
22.5352138889,73.1831972222,45/0
22.5383611111,73.1905083333,45A/0
22.5409,73.1975916667,45B/0
22.5469722222,73.2123138889,45C/0
22.5493666667,73.2192083333,46/0
22.5482611111,73.2239222222,46A/0
22.5474055556,73.2265944444,47/0
22.5467138889,73.2426083333,47A/0
22.546575,73.2463527778,47B/0
22.5465305556,73.2487861111,48/0
22.5470777778,73.253575,48A/0
22.5516,73.2839527778,49/0
22.5507638889,73.2861583333,50/0
22.5512972222,73.2902722222,50/1
22.55766666670001,73.3342527778,51/0
22.5605555556,73.3560527778,51A/0
22.5616361111,73.3826333333,52/0
22.5648833333,73.4083888889,53/0
22.564125,73.4104555556,53A/0
22.558025,73.424475,54/0
22.56374444440001,73.4452111111,54A/0
22.5642444444,73.4474083333,55/0
22.5640361111,73.4515805556,56/0
22.5627416667,73.45485,57/0
22.5647666667,73.4613861111,58/0
22.5706722222,73.465825,59/0
22.5711888889,73.4729777778,60/0
22.57033055559999,73.4748,61/0
22.5716888889,73.4946,61/5
