Longitude,Latitude
"[72.78080339491717,","22.539627909999133],"
"[72.78049161452178,","22.54003530308103],"
"[72.7671251341916,","22.540633147341072],"
"[72.76710900984418,","22.540634221793717],"
"[72.76469421123205,","22.540848191255012],"
"[72.76374491489481,","22.53942650691535],"
"[72.76406937895518,","22.538305630849766],"
"[72.77448433860435,","22.53508403129874],"
"[72.77451479982503,","22.535073128233062],"
"[72.7745441921103,","22.535059605793457],"
"[72.7745722907213,","22.535043567375002],"
"[72.77459888081083,","22.53502513561043],"
"[72.78029332521082,","22.53069735781043],"
"[72.78032063357651,","22.530674446711732],"
"[72.78034561047862,","22.530649014062604],"
"[72.78036802408892,","22.530621295921364],"
"[72.78038766637091,","22.530591549559603],"
"[72.78040435501077,","22.53056005107424],"
"[72.78179822709707,","22.527591825518943],"
"[72.78455042362631,","22.521840262563355],"
"[72.78456231020138,","22.52181258048386],"
"[72.78457190530851,","22.521784023136103],"
"[72.78496507716501,","22.5204341328375],"
"[72.78936460758752,","22.51551796034643],"
"[72.79279102666383,","22.514932382915255],"
"[72.7950761030813,","22.5152267958559],"
"[72.79685744402646,","22.515555270051447],"
"[72.79743025942577,","22.51653896578348],"
"[72.7974502428406,","22.51656967788159],"
"[72.79747316595538,","22.516598262854007],"
"[72.79749880396452,","22.51662444036967],"
"[72.79752690543765,","22.516647953707302],"
"[72.79755719478537,","22.51666857227306],"
"[72.7975893749619,","22.51668609386193],"
"[72.79762313037827,","22.516700346640786],"
"[72.79765812999717,","22.5167111908335],"
"[72.79769403057952,","22.516718520091747],"
"[72.7977304800505,","22.516722262537943],"
"[72.80582770225051,","22.517150040337942],"
"[72.80587644678673,","22.517149399636864],"
"[72.81680532607044,","22.516283472717785],"
"[72.81813588234786,","22.51676205230939],"
"[72.81816834240186,","22.516772070374458],"
"[72.81820158446192,","22.516779069101215],"
"[72.81823532830968,","22.51678298949296],"
"[72.81826928949691,","22.516783798502235],"
"[72.83246651169691,","22.516469909602236],"
"[72.83248624804389,","22.51646894547981],"
"[72.84462515370063,","22.515550505056556],"
"[72.85242807861317,","22.517081894430323],"
"[72.85523059401444,","22.517915746327603],"
"[72.85526479980969,","22.51792417404203],"
"[72.85529965207529,","22.517929310420364],"
"[72.85533483485906,","22.517931108898924],"
"[72.85537002921257,","22.51792955317366],"
"[72.85540491608243,","22.51792465734794],"
"[72.85543917920283,","22.51791646580474],"
"[72.85547250796247,","22.51790505280423],"
"[72.85550460022048,","22.517890521810635],"
"[72.85553516504548,","22.517873004554225],"
"[72.85884945414111,","22.51575778760431],"
"[72.86199215894528,","22.51596640964556],"
"[72.86203161315022,","22.51596692018975],"
"[72.86207089737668,","22.515963226344386],"
"[72.86210956486488,","22.515955370117712],"
"[72.86214717586893,","22.51594344085465],"
"[72.86409021068448,","22.515211002392547],"
"[72.87713027667999,","22.511116899106245],"
"[72.87716357405468,","22.511104662494407],"
"[72.87719554652111,","22.511089293329817],"
"[72.87722590017319,","22.511070932893137],"
"[72.87725435598573,","22.51104974996222],"
"[72.8772806523794,","22.511025939260627],"
"[72.87730454762523,","22.510999719667637],"
"[72.87895013316347,","22.509010319603124],"
"[72.88117562200271,","22.508773672614208],"
"[72.88333051635131,","22.50949530006468],"
"[72.88384232766094,","22.51083727432508],"
"[72.88422091341116,","22.512219935085373],"
"[72.88423103078871,","22.512251321038715],"
"[72.88424390248592,","22.512281681519717],"
"[72.88425942625888,","22.51231077536561],"
"[72.88427747879742,","22.512338371474904],"
"[72.88609692319741,","22.514866149274905],"
"[72.88611963678571,","22.51489463511148],"
"[72.88614504177644,","22.514920749023954],"
"[72.88617289184884,","22.514944237818007],"
"[72.8862029169752,","22.51496487375186],"
"[72.88623482603899,","22.514982456744388],"
"[72.88626830965751,","22.514996816315055],"
"[72.8897433096575,","22.516288483015057],"
"[72.88977637621805,","22.51629903702298],"
"[72.8898102862684,","22.51630644600366],"
"[72.88984474138414,","22.51631064475458],"
"[72.889879438344,","22.516311596324748],"
"[72.8899140717984,","22.516309292339905],"
"[72.8899483369566,","22.516303753076198],"
"[72.89598722585662,","22.515034308576197],"
"[72.8960243031775,","22.51502448283305],"
"[72.89606016401596,","22.515010871322612],"
"[72.89609442297332,","22.514993620328653],"
"[72.8961267118664,","22.51497291524869],"
"[72.89615668368441,","22.51494897860153],"
"[72.89812657652874,","22.51320104549461],"
"[72.89953668880261,","22.51199162343258],"
"[72.90393199135778,","22.51103336831259],"
"[72.90550877488647,","22.511929970649422],"
"[72.9055393847489,","22.5119455427414],"
"[72.90557130658733,","22.511958209625693],"
"[72.90560426538109,","22.511967862171517],"
"[72.90563797717564,","22.511974417217942],"
"[72.90567215152909,","22.511977818290365],"
"[72.9363860404291,","22.513600040590365],"
"[72.93642529116816,","22.513600028883676],"
"[72.93646431981063,","22.513595859264846],"
"[72.93650268714296,","22.513587578657184],"
"[72.93653996139378,","22.513575280247508],"
"[72.94316233098372,","22.510993263417962],"
"[72.94537696805574,","22.51191268860813],"
"[72.9465674927995,","22.513691876309988],"
"[72.94658951649721,","22.51372148138197],"
"[72.94661437939727,","22.51374874563968],"
"[72.94664183423215,","22.513773397933495],"
"[72.94667160795687,","22.5137951930904],"
"[72.94670340446456,","22.51381391435229],"
"[72.94673690753126,","22.51382937553171],"
"[72.94677178396091,","22.51384142286349],"
"[72.95042456176091,","22.51490253396349],"
"[72.95046095053763,","22.514911137185955],"
"[72.9504980218206,","22.51491602374784],"
"[72.95053539700112,","22.51491714374273],"
"[72.9505726943668,","22.514914485732124],"
"[72.95060953299998,","22.514908076862262],"
"[72.95064553666802,","22.514897982586884],"
"[72.95258164776801,","22.514247982586884],"
"[72.95261182367571,","22.514236361260178],"
"[72.95264086965926,","22.5142221495932],"
"[72.9526685638658,","22.51420545613449],"
"[72.95269469476729,","22.514186408388507],"
"[72.95442039594113,","22.512809088267623],"
"[72.96116362311314,","22.5104548787073],"
"[72.9612116381916,","22.510434203880145],"
"[72.96451336699891,","22.508726603980314],"
"[72.96811889767662,","22.507188025206663],"
"[72.97203496066741,","22.506523447818104],"
"[72.97594324891729,","22.505902996686544],"
"[72.97991323160721,","22.505476355123964],"
"[72.98354713549666,","22.50511186027566],"
"[72.98724613165166,","22.505150535377666],"
"[72.98728075173722,","22.505149275453896],"
"[72.9873151022368,","22.505144783137073],"
"[72.9873488820158,","22.505137097809218],"
"[72.98738179494278,","22.50512628684397],"
"[72.98741355248566,","22.505112445015975],"
"[72.98744387624104,","22.505095693669997],"
"[72.98747250037485,","22.50507617965719],"
"[72.98749917395283,","22.505054074047706],"
"[72.98752366314027,","22.50502957063099],"
"[72.9903961040627,","22.501872808567537],"
"[72.99613580488509,","22.50263417001358],"
"[72.99864549355075,","22.503186356782884],"
"[72.99867976455772,","22.503192224392937],"
"[72.99871443502792,","22.50319484913326],"
"[72.99874919879484,","22.5031942078254],"
"[72.99878374886805,","22.50319030613259],"
"[72.99881778014422,","22.503183178509744],"
"[72.99885099210141,","22.50317288789917],"
"[72.99888309145284,","22.503159525174752],"
"[72.99891379473691,","22.503143208339484],"
"[73.00223323913691,","22.501173763939477],"
"[73.00226094629929,","22.501155600475983],"
"[73.00520546823951,","22.49903093632207],"
"[73.0204514295271,","22.50006117960791],"
"[73.0221460153546,","22.501450054714326],"
"[73.02215585884863,","22.501457847009135],"
"[73.02519752544865,","22.503782847009138],"
"[73.02521596237254,","22.503796064555893],"
"[73.0288545705509,","22.5062392877759],"
"[73.03056784330704,","22.507796059595385],"
"[73.03059789327644,","22.507820614876085],"
"[73.03063034985334,","22.507841887701183],"
"[73.03066485600057,","22.507859644059895],"
"[73.03388152260057,","22.509306866259905],"
"[73.03391460367654,","22.509319877384346],"
"[73.03394878067893,","22.50932965385889],"
"[73.03398373813903,","22.5093361054424],"
"[73.03401915338418,","22.509339172583932],"
"[73.03597092239528,","22.509414027359636],"
"[73.04124226750938,","22.509724424079323],"
"[73.04320480761287,","22.51186921885213],"
"[73.0432288610871,","22.511893196970824],"
"[73.0459538610871,","22.514370974770824],"
"[73.04598323504304,","22.514395049293903],"
"[73.04601492215527,","22.514415985837733],"
"[73.04604858856061,","22.514433563809757],"
"[73.04960644022445,","22.516064591390098],"
"[73.05133453095196,","22.517081115382368],"
"[73.05290304300158,","22.51804220022245],"
"[73.06046337278852,","22.52610857995107],"
"[73.06048918897616,","22.526133572774178],"
"[73.06051730771186,","22.526155943591213],"
"[73.06054746380515,","22.526175481420903],"
"[73.06378913050514,","22.528058814720904],"
"[73.0637928265659,","22.528060933679356],"
"[73.07324253682842,","22.53340642064291],"
"[73.07654783620136,","22.53536018288882],"
"[73.07658143329468,","22.53537778390655],"
"[73.07661665575966,","22.5353918529671],"
"[73.07665313347472,","22.535402242231203],"
"[73.07858977278273,","22.535847912324975],"
"[73.08252713839903,","22.53814996795165],"
"[73.08253115777354,","22.538152284267394],"
"[73.09249763974528,","22.54381291280966],"
"[73.09916424167133,","22.54792056105976],"
"[73.09919581566585,","22.54793795298054],"
"[73.09922893220799,","22.547952189928058],"
"[73.09926327696977,","22.54796313677132],"
"[73.09929852396542,","22.547970689607588],"
"[73.0993343386456,","22.547974776748582],"
"[73.1145510053456,","22.54896366554858],"
"[73.1145842471086,","22.548964328829225],"
"[73.11847313600859,","22.548867106629228],"
"[73.11850736201525,","22.548864659389533],"
"[73.11854121413137,","22.54885905200612],"
"[73.11857440121179,","22.548850332705285],"
"[73.12558877785374,","22.54665505681605],"
"[73.1290045998311,","22.546250768641613],"
"[73.12901904896539,","22.546248768935584],"
"[73.14161627116539,","22.544251546735584],"
"[73.14164955336722,","22.544244690100133],"
"[73.14168206614984,","22.544234808937492],"
"[73.14171353527577,","22.54422198659288],"
"[73.14174369531055,","22.544206331219673],"
"[73.1465875864644,","22.54140240558213],"
"[73.1491641153592,","22.54115867985241],"
"[73.15239609752115,","22.54111997346908],"
"[73.15242833358536,","22.54111817867879],"
"[73.15717000018536,","22.54064595647879],"
"[73.15720698976116,","22.54064037223698],"
"[73.1572432264095,","22.54063108150007],"
"[73.16091774878467,","22.53948814218278],"
"[73.18315229213584,","22.53559737321058],"
"[73.19036203791794,","22.53870096056842],"
"[73.1903834908906,","22.538709413228638],"
"[73.19745863262355,","22.541245365978188],"
"[73.21217281024707,","22.547314270169863],"
"[73.21219250013615,","22.54732174296907],"
"[73.21908694453616,","22.54971618746907],"
"[73.21912032511594,","22.54972604750018],"
"[73.21915448451564,","22.549732727225628],"
"[73.21918912044497,","22.54973616753383],"
"[73.2192239263966,","22.54973633798011],"
"[73.2192585943586,","22.54973323705612],"
"[73.21929281754025,","22.549726892203193],"
"[73.22400670644025,","22.548621336603194],"
"[73.22403504237586,","22.54861349101986],"
"[73.22665999617297,","22.54777306926962],"
"[73.24262317375793,","22.547083592876305],"
"[73.24636301443695,","22.54694487474119],"
"[73.24876840937543,","22.546900940630394],"
"[73.25352674288631,","22.54744467129246],"
"[73.28389829769438,","22.55196596709974],"
"[73.28393585480136,","22.551969612786735],"
